"Visit ID","Observation Request","OBSID","Target Name","RA (hh mm ss.ff)","DEC (dd mm ss.ff)","Distance (deg)","Magnitude (mag)","Target Effective Temperature (K)","Proprietary Status","Revision","Processing Chain Vrs","Obs Start","Obs Stop"
"240004000101","2400040001","2365179","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-03-09T05:09:00.000000","2024-03-09T18:20:00.000000"
"240004000102","2400040001","2367052","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-03-16T05:56:00.000000","2024-03-16T19:07:00.000000"
"240004000103","2400040001","2370611","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-03-23T03:34:00.000000","2024-03-23T16:45:00.000000"
"240004000104","2400040001","2377976","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-03-30T02:46:59","2024-03-30T15:58:00.000000"
"240004000105","2400040001","2406487","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-05-10T20:52:53","2024-05-11T10:41:00.000000"
"240004000106","2400040001","2413239","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-05-17T19:31:53","2024-05-18T08:43:00.000000"
"240004000107","2400040001","2421684","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-05-24T17:53:52","2024-05-25T08:56:00.000000"
"240004000108","2400040001","2432394","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-05-31T18:07:00.000000","2024-06-01T07:18:00.000000"
"240004000109","2400040001","2444115","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-06-07T16:58:00.000000","2024-06-08T06:09:00.000000"
"240004000110","2400040001","2446774","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-06-14T17:24:00.000000","2024-06-15T07:34:00.000000"
"240004000111","2400040001","2455494","HIP 67522","13 50 6.28","-40 50 8.88","0","9.61","5675","PRIVATE","3","0","2024-06-21T14:03:00.000000","2024-06-22T03:14:00.000000"
"240017000101","2400170001","2382459","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-04-05T15:37:56","2024-04-06T11:37:00.000000"
"240017000102","2400170001","2382460","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-04-12T14:38:55","2024-04-13T09:45:00.000000"
"240017000103","2400170001","2390044","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-04-19T13:41:55","2024-04-20T12:28:00.000000"
"240017000104","2400170001","2402938","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-05-03T12:11:52","2024-05-04T07:29:00.000000"
"240017000501","2400170005","2394579","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-04-28T17:25:00.000000","2024-04-29T08:57:00.000000"
"240017000601","2400170006","2383621","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-04-11T10:48:00.000000","2024-04-12T02:20:00.000000"
"240017000701","2400170007","2402943","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-04-30T12:18:55","2024-05-01T03:51:00.000000"
"240017000801","2400170008","2366465","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-03-11T08:35:54","2024-03-12T02:25:00.000000"
"240017000901","2400170009","2372811","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-03-21T03:03:00.000000","2024-03-21T19:45:00.000000"
"240017001001","2400170010","2435119","HIP 67522","13 50 6.28","-40 50 8.88","0","9.615","5770","PRIVATE","3","0","2024-05-26T15:30:00.000000","2024-05-27T08:09:00.000000"